,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2
6100,1.2,2625,11810,11810,0.59375,0.637096774
6101,1.2,13656,16524,16524,0.47552447600000003,0.25
6102,1.2,16524,13656,16524,0.569014085,0.41666666700000005
6103,1.2,13656,10151,13656,0.23809523800000001,0.49479166700000005
6104,1.2,5635,1738,5635,0.435483871,0.428571429
6105,1.2,5635,1738,5635,0.435483871,0.428571429
6106,1.2,11810,7227,7227,0.637096774,0.46666666700000003
6107,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6108,1.2,5635,10151,5635,0.435483871,0.49479166700000005
6109,1.2,10289,10151,10289,0.5412621360000001,0.49479166700000005
6110,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6111,1.2,15234,15558,15234,0.42281879200000005,0.597325409
6112,1.2,7227,15558,15558,0.25,0.597325409
6113,1.2,16524,10289,16524,0.569014085,0.5412621360000001
6114,1.2,13656,9660,9660,0.47552447600000003,0.613095238
6115,1.2,4983,3927,3927,0.5,0.4375
6116,1.2,10289,9660,9660,0.5412621360000001,0.613095238
6117,1.2,16524,13656,16524,0.569014085,0.23809523800000001
6118,1.2,5635,1738,1738,0.435483871,0.666666667
6119,1.2,16524,15234,16524,0.569014085,0.42281879200000005
6120,1.2,7227,1738,1738,0.43243243200000003,0.25
6121,1.2,7227,2524,2524,0.5,0.4
6122,1.2,7227,15558,15558,0.25,0.597325409
6123,1.2,13656,9660,9660,0.23809523800000001,0.613095238
6124,1.2,11109,1738,1738,0.586750789,0.428571429
6125,1.2,3373,16524,16524,0.5106382979999999,0.508038585
6126,1.2,11810,3373,3373,0.637096774,0.5106382979999999
6127,1.2,9660,11810,9660,0.613095238,0.637096774
6128,1.2,11109,2524,11109,0.586750789,0.617021277
6129,1.2,10289,13656,10289,0.5412621360000001,0.47552447600000003
6130,1.2,16524,4495,16524,0.457142857,0.2
6131,1.2,16524,13656,16524,0.569014085,0.47552447600000003
6132,1.2,13656,11810,11810,0.47552447600000003,0.637096774
6133,1.2,1738,2524,2524,0.0,0.617021277
6134,1.2,13656,16524,16524,0.47552447600000003,0.569014085
6135,1.2,7227,1738,7227,0.6875,0.428571429
6136,1.2,5635,15558,15558,0.435483871,0.597325409
6137,1.2,7227,4495,4495,0.567567568,0.75
6138,1.2,7227,1738,7227,0.75,0.428571429
6139,1.2,7227,10151,7227,0.41176470600000004,0.49479166700000005
6140,1.2,4495,16524,16524,0.333333333,0.569014085
6141,1.2,5635,10151,10151,0.435483871,0.49479166700000005
6142,1.2,15234,9660,15234,0.42281879200000005,0.613095238
6143,1.2,7227,1738,7227,0.75,0.0
6144,1.2,5635,1738,5635,0.435483871,0.0
6145,1.2,15234,11810,15234,0.42281879200000005,0.637096774
6146,1.2,13656,7227,13656,0.47552447600000003,0.25
6147,1.2,7227,15558,7227,0.6875,0.597325409
6148,1.2,4621,1047,4621,0.5,0.5
6149,1.2,16524,13656,16524,0.569014085,0.23809523800000001
6150,1.2,10151,16524,10151,0.49479166700000005,0.569014085
6151,1.2,10289,15558,10289,0.5412621360000001,0.597325409
6152,1.2,5635,1738,5635,0.435483871,0.0
6153,1.2,16524,15234,16524,0.569014085,0.42281879200000005
6154,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6155,1.2,1738,13656,13656,0.428571429,0.47552447600000003
6156,1.2,3403,15234,15234,0.0,0.42281879200000005
6157,1.2,7227,4495,7227,0.75,0.46153846200000004
6158,1.2,5635,3373,3373,0.435483871,0.473684211
6159,1.2,5635,10151,5635,0.435483871,0.49479166700000005
6160,1.2,7227,1738,7227,0.6875,0.428571429
6161,1.2,5635,15558,15558,0.0,0.597325409
6162,1.2,3373,11810,3373,0.473684211,0.637096774
6163,1.2,15234,15558,15234,0.42281879200000005,0.597325409
6164,1.2,11109,15234,11109,0.586750789,0.42281879200000005
6165,1.2,5635,16524,16524,0.435483871,0.569014085
6166,1.2,8606,16524,8606,0.666666667,0.569014085
6167,1.2,15234,10151,15234,0.42281879200000005,0.49479166700000005
6168,1.2,10151,16524,16524,0.49479166700000005,0.508038585
6169,1.2,9660,7227,7227,0.613095238,0.6875
6170,1.2,1738,13656,1738,0.428571429,0.4
6171,1.2,9660,13656,13656,0.613095238,0.5
6172,1.2,11810,10151,10151,0.637096774,0.49479166700000005
6173,1.2,4983,9660,4983,0.5,0.613095238
6174,1.2,4983,10151,4983,0.44,0.49479166700000005
6175,1.2,13656,8606,13656,0.47552447600000003,0.625
6176,1.2,8606,13656,13656,0.571428571,0.23809523800000001
6177,1.2,16524,8606,8606,0.569014085,0.571428571
6178,1.2,16524,4983,4983,0.569014085,0.538461538
6179,1.2,11810,15234,15234,0.557142857,0.42281879200000005
6180,1.2,16524,7227,7227,0.569014085,0.75
6181,1.2,8606,11810,11810,0.28571428600000004,0.557142857
6182,1.2,13656,9660,9660,0.4,0.613095238
6183,1.2,13656,9660,13656,0.4,0.613095238
6184,1.2,3927,11109,11109,0.333333333,0.586750789
6185,1.2,7227,10289,10289,0.25,0.5412621360000001
6186,1.2,10289,9660,10289,0.5412621360000001,0.613095238
6187,1.2,7227,4495,7227,0.75,0.46153846200000004
6188,1.2,15234,15558,15558,0.42281879200000005,0.597325409
6189,1.2,5635,7227,7227,0.435483871,0.41176470600000004
6190,1.2,15234,10151,10151,0.42281879200000005,0.49479166700000005
6191,1.2,16524,8606,16524,0.569014085,0.352941176
6192,1.2,15234,15558,15234,0.42281879200000005,0.597325409
6193,1.2,13656,10289,10289,0.4,0.5412621360000001
6194,1.2,13656,9660,9660,0.5,0.613095238
6195,1.2,5635,1738,5635,0.435483871,0.25
6196,1.2,4983,7227,7227,0.454545455,0.43243243200000003
6197,1.2,15234,11109,11109,0.42281879200000005,0.586750789
6198,1.2,8606,5635,8606,0.333333333,0.435483871
6199,1.2,9660,7227,9660,0.613095238,0.43243243200000003
6200,1.2,11810,7227,11810,0.557142857,0.43243243200000003
6201,1.2,4983,16524,4983,0.454545455,0.569014085
6202,1.2,7227,13656,7227,0.43243243200000003,0.47552447600000003
6203,1.2,13656,9660,13656,0.47552447600000003,0.613095238
6204,1.2,1738,10151,10151,0.428571429,0.49479166700000005
6205,1.2,10289,7227,7227,0.5412621360000001,0.43243243200000003
6206,1.2,10289,9660,9660,0.5412621360000001,0.613095238
6207,1.2,10289,7227,10289,0.5412621360000001,0.43243243200000003
6208,1.2,11810,15558,11810,0.557142857,0.597325409
6209,1.2,16524,15234,16524,0.569014085,0.42281879200000005
6210,1.2,10151,11810,10151,0.49479166700000005,0.557142857
6211,1.2,4983,9660,9660,0.44,0.613095238
6212,1.2,1738,15558,1738,0.428571429,0.597325409
6213,1.2,9660,7227,9660,0.613095238,0.333333333
6214,1.2,15234,15558,15558,0.42281879200000005,0.597325409
6215,1.2,9660,16524,9660,0.613095238,0.569014085
6216,1.2,16524,7227,16524,0.569014085,0.43243243200000003
6217,1.2,13656,10289,13656,0.47552447600000003,0.5412621360000001
6218,1.2,11109,1738,11109,0.586750789,0.428571429
6219,1.2,16524,8606,16524,0.569014085,0.46153846200000004
6220,1.2,10151,4983,10151,0.49479166700000005,0.454545455
6221,1.2,11109,15558,15558,0.586750789,0.597325409
6222,1.2,11109,16524,11109,0.586750789,0.508038585
6223,1.2,16524,13656,16524,0.569014085,0.47552447600000003
6224,1.2,15234,5635,15234,0.42281879200000005,0.435483871
6225,1.2,4983,13656,13656,0.44,0.4
6226,1.2,10289,9660,10289,0.5412621360000001,0.613095238
6227,1.2,11810,10151,11810,0.557142857,0.49479166700000005
6228,1.2,11109,10151,11109,0.586750789,0.49479166700000005
6229,1.2,11810,1738,11810,0.557142857,0.428571429
6230,1.2,7227,9660,7227,0.75,0.613095238
6231,1.2,10289,16524,10289,0.5412621360000001,0.569014085
6232,1.2,11109,16524,11109,0.586750789,0.508038585
6233,1.2,16524,7227,7227,0.569014085,0.75
