,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
5330,1.2,968.095122,796.3225806,796.3225806,0.37037037,1,0.756157635,0.163793103,16,23,2
5331,1.2,902.3966245,827.5,827.5,0.53125,0.323529412,0.780788177,0.083128079,25,1,2
5332,1.2,1002.710526,796.3225806,796.3225806,0.444444444,0.4,0.215517241,0.756157635,14,16,2
5333,1.2,1002.710526,982.7297297,982.7297297,0.444444444,0.594736842,0.215517241,0.310344828,14,3,2
5334,1.2,626.9569536,949.945122,626.9569536,0.422818792,0.6,0.794334975,0.756157635,5,16,1
5335,1.2,626.9569536,826.9859438,826.9859438,0.422818792,0.461538462,0.794334975,0.794334975,5,5,2
5336,1.2,827.5,902.3966245,827.5,0.323529412,0.53125,0.083128079,0.780788177,1,25,1
5337,1.2,949.945122,829.2739044,949.945122,0.473684211,0.457142857,1,0.215517241,17,14,1
5338,1.2,902.3966245,827.5,902.3966245,0.53125,0.323529412,0.780788177,0.083128079,25,1,1
5339,1.2,871.6798246,827.5,827.5,0.666666667,0.323529412,0.310344828,0.083128079,3,1,2
5340,1.2,826.9859438,980.9196429,826.9859438,0.547169811,0.375,0.155788177,1,0,17,1
5341,1.2,626.9569536,827.5,827.5,0.422818792,0.323529412,0.794334975,0.083128079,5,1,2
5342,1.2,626.9569536,827.5,827.5,0.422818792,0.323529412,0.794334975,0.083128079,5,1,2
5343,1.2,796.3225806,626.9569536,626.9569536,0.485436893,0.422818792,0.794334975,0.794334975,5,5,2
5344,1.2,966.4918033,983.5714286,966.4918033,0.617021277,0.2,0.166256158,0.116995074,2,12,1
5345,1.2,931.742268,626.9569536,931.742268,0.7,0.422818792,0.756157635,0.794334975,16,5,1
5346,1.2,931.742268,796.3225806,931.742268,0.7,0.485436893,0.756157635,0.794334975,16,5,1
5347,1.2,944.4407407,966.4918033,966.4918033,0.5,0.617021277,1,0.166256158,17,2,2
5348,1.2,966.4918033,1002.710526,966.4918033,0.617021277,0.569620253,0.166256158,0.756157635,2,16,1
5349,1.2,928.4565217,980.9196429,980.9196429,0.4375,0.59375,0.780788177,0.780788177,25,25,2
5350,1.2,983.5714286,966.4918033,966.4918033,0.2,0.617021277,0.116995074,0.166256158,12,2,2
5351,1.2,1002.710526,829.2739044,1002.710526,0.569620253,0.508038585,0.756157635,0.756157635,16,16,1
5352,1.2,846.2139037,1012.067843,846.2139037,0.541262136,0.597325409,1,0.980295567,17,7,1
5353,1.2,931.742268,982.7297297,931.742268,0.7,0.594736842,0.756157635,0.310344828,16,3,1
5354,1.2,1002.710526,846.2139037,846.2139037,0.569620253,0.541262136,0.756157635,1,16,17,2
5355,1.2,982.7297297,968.095122,982.7297297,0.594736842,0.37037037,0.310344828,0.756157635,3,16,1
5356,1.2,1002.710526,982.7297297,982.7297297,0.569620253,0.594736842,0.756157635,0.310344828,16,3,2
5357,1.2,1002.710526,982.7297297,1002.710526,0.569620253,0.594736842,0.756157635,0.310344828,16,3,1
5358,1.2,982.7297297,1002.710526,1002.710526,0.594736842,0.569620253,0.310344828,0.756157635,3,16,2
5359,1.2,944.4407407,829.2739044,829.2739044,0.714285714,0.508038585,0.06773399,0.756157635,24,16,2
5360,1.2,1012.067843,796.3225806,1012.067843,0.597325409,0.485436893,0.980295567,0.794334975,7,5,1
5361,1.2,968.095122,827.5,968.095122,0.409090909,0.323529412,1,0.083128079,17,1,1
5362,1.2,1002.710526,966.4918033,1002.710526,0.569620253,0.617021277,0.756157635,0.166256158,16,2,1
5363,1.2,871.6798246,983.5714286,983.5714286,0.333333333,0.2,0.794334975,0.116995074,5,12,2
5364,1.2,902.3966245,968.095122,968.095122,0.53125,0.473684211,0.780788177,0.794334975,25,5,2
5365,1.2,626.9569536,982.7297297,982.7297297,0.422818792,0.594736842,0.794334975,0.310344828,5,3,2
5366,1.2,982.7297297,796.3225806,982.7297297,0.594736842,0.485436893,0.310344828,0.794334975,3,5,1
5367,1.2,626.9569536,973.4871795,973.4871795,0.422818792,0.586750789,0.794334975,0.980295567,5,7,2
5368,1.2,951.6043165,1012.067843,1012.067843,0.333333333,0.597325409,0.756157635,0.980295567,16,7,2
5369,1.2,1012.067843,950.634981,950.634981,0.597325409,0.5,0.980295567,0.310344828,7,3,2
5370,1.2,626.9569536,796.3225806,626.9569536,0.422818792,0.5,0.794334975,0.083128079,5,1,1
5371,1.2,973.4871795,826.9859438,973.4871795,0.586750789,0.533333333,0.980295567,0.104064039,7,13,1
5372,1.2,626.9569536,1012.067843,626.9569536,0.422818792,0.597325409,0.794334975,0.980295567,5,7,1
5373,1.2,1012.067843,827.5,1012.067843,0.597325409,0.323529412,0.980295567,0.083128079,7,1,1
5374,1.2,826.9859438,980.9196429,980.9196429,0.285714286,0.466666667,0.163793103,0.083128079,23,1,2
5375,1.2,796.3225806,1002.710526,796.3225806,0.5,0.444444444,0.110837438,0.215517241,6,14,1
5376,1.2,626.9569536,1012.067843,1012.067843,0.422818792,0.597325409,0.794334975,0.980295567,5,7,2
5377,1.2,626.9569536,827.5,626.9569536,0.422818792,0.323529412,0.794334975,0.083128079,5,1,1
5378,1.2,944.4407407,827.5,944.4407407,0.5,0.323529412,0.756157635,0.083128079,16,1,1
5379,1.2,982.7297297,966.4918033,982.7297297,0.594736842,0,0.310344828,0.794334975,3,5,1
5380,1.2,973.4871795,950.634981,973.4871795,0.586750789,0.44,0.980295567,0.794334975,7,5,1
5381,1.2,944.4407407,950.634981,944.4407407,0.714285714,0.45,0.06773399,0.756157635,24,16,1
5382,1.2,944.4407407,966.4918033,944.4407407,0.333333333,0.617021277,0.113916256,0.166256158,11,2,1
5383,1.2,949.945122,968.095122,968.095122,0.510638298,0.409090909,0.155788177,1,0,17,2
5384,1.2,827.5,982.7297297,982.7297297,0.323529412,0.594736842,0.083128079,0.310344828,1,3,2
5385,1.2,626.9569536,982.7297297,982.7297297,0.422818792,0.594736842,0.794334975,0.310344828,5,3,2
5386,1.2,626.9569536,1012.067843,1012.067843,0.422818792,0.597325409,0.794334975,0.980295567,5,7,2
5387,1.2,1012.067843,827.5,1012.067843,0.597325409,0.323529412,0.980295567,0.083128079,7,1,1
5388,1.2,871.6798246,936.4375,871.6798246,0.294117647,0.2,0.166256158,0.163793103,2,23,1
5389,1.2,982.7297297,871.6798246,982.7297297,0.594736842,0.472727273,0.310344828,0.110837438,3,6,1
5390,1.2,982.7297297,968.095122,968.095122,0.594736842,0.409090909,0.310344828,1,3,17,2
5391,1.2,871.6798246,827.5,871.6798246,0.666666667,0.323529412,0.310344828,0.083128079,3,1,1
5392,1.2,944.4407407,829.2739044,829.2739044,0.333333333,0.508038585,0.113916256,0.756157635,11,16,2
5393,1.2,982.7297297,1002.710526,1002.710526,0.594736842,0.569620253,0.310344828,0.756157635,3,16,2
