player,strat,wins,total_matches,winrate
probablyrob,MR,4,5,0.8
probablyrob,RW,0,1,0
probablytom,AB,9,17,0.529411765
probablytom,AG,1,4,0.25
probablytom,AH,2,4,0.5
probablytom,AK,7,14,0.5
probablytom,AM,2,3,0.666666667
probablytom,AR,11,25,0.44
probablytom,AW,1,3,0.333333333
probablytom,BG,11,21,0.523809524
probablytom,BH,20,29,0.689655172
probablytom,BK,3,11,0.272727273
probablytom,BM,5,5,1
probablytom,BR,4,7,0.571428571
probablytom,BW,0,2,0
probablytom,GH,2,4,0.5
probablytom,GK,1,3,0.333333333
probablytom,GM,6,7,0.857142857
probablytom,GR,9,20,0.45
probablytom,GW,5,7,0.714285714
probablytom,HK,4,11,0.363636364
probablytom,HM,2,2,1
probablytom,HR,1,1,1
probablytom,HW,0,1,0
probablytom,KM,1,2,0.5
probablytom,KR,0,2,0
probablytom,MR,10,19,0.526315789
probablytom,MW,6,10,0.6
probablytom,RW,12,23,0.52173913
rocinante,AB,0,2,0
rocinante,AG,0,1,0
rocinante,AK,0,1,0
rocinante,AM,1,2,0.5
rocinante,AR,0,1,0
rocinante,AW,0,1,0
rocinante,BG,0,2,0
rocinante,BH,0,1,0
rocinante,BM,3,3,1
rocinante,BW,1,1,1
rocinante,GH,1,3,0.333333333
rocinante,GM,4,5,0.8
rocinante,GR,1,1,1
rocinante,GW,3,4,0.75
rocinante,HK,0,1,0
rocinante,HM,0,1,0
rocinante,KM,0,1,0
rocinante,KW,1,1,1
rocinante,MW,3,8,0.375
rocinante,RW,0,2,0
rowan,AH,2,4,0.5
rowan,AK,2,2,1
rowan,AR,0,1,0
rowan,AW,0,1,0
rowan,BR,0,1,0
rowan,BW,0,2,0
rowan,MW,0,1,0
rowan,RW,1,1,1
ruadh_beag,HK,1,4,0.25
ruadh_mor,AH,0,2,0
ruadh_mor,BK,0,1,0
ruadh_mor,HK,12,25,0.48
ruadh_mor,KR,0,3,0
ruadh_mor,KW,0,1,0
s_c_bear,HR,0,1,0
sidb,AB,1,1,1
sidb,AH,5,8,0.625
sidb,AK,0,1,0
sidb,AR,0,1,0
sidb,BH,0,1,0
