,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
4031,1.2,2456,15558,1012.067843,0.75,0.597325409,0.215517241,0.980295567,14,7,2
4032,1.2,13656,2456,796.3225806,0.556485356,0.538461538,0.780788177,0.293719212,25,9,1
4033,1.2,15234,9660,626.9569536,0.422818792,0.5,0.794334975,0.104064039,5,13,1
4034,1.2,6337,9660,982.7297297,0.594736842,0.545454545,0.310344828,0.980295567,3,7,1
4035,1.2,2456,5370,993.9101124,0.75,0.5,0.215517241,1,14,17,1
4036,1.2,16524,10289,829.2739044,0.508038585,0.541262136,0.756157635,1,16,17,1
4037,1.2,13656,15234,796.3225806,0.404255319,0.422818792,1,0.794334975,17,5,1
4038,1.2,16524,6337,829.2739044,0.508038585,0.594736842,0.756157635,0.310344828,16,3,1
4039,1.2,5820,3403,951.6043165,0.363636364,0.6,0.16317734,0.794334975,18,5,2
4040,1.2,10289,11810,846.2139037,0.541262136,0.637096774,1,0.980295567,17,7,1
4041,1.2,8524,16524,829.2739044,0.487179487,0.8,0.756157635,0.980295567,16,7,2
4042,1.2,9660,5820,902.3966245,0.277777778,0.363636364,0.155788177,0.16317734,0,18,1
4043,1.2,9660,6337,902.3966245,0.545454545,0.594736842,0.980295567,0.310344828,7,3,1
4044,1.2,3403,15558,951.6043165,0.5,0.597325409,0.110837438,0.980295567,6,7,1
4045,1.2,11810,8524,872.4835165,0.588235294,0.487179487,0.153325123,0.756157635,26,16,2
4046,1.2,6337,1908,982.7297297,0.594736842,0.545454545,0.310344828,0.756157635,3,16,1
4047,1.2,16524,10289,846.2139037,0.508038585,0.541262136,0.756157635,1,16,17,2
4048,1.2,9660,16524,829.2739044,0.545454545,0.508038585,0.980295567,0.756157635,7,16,2
4049,1.2,16524,8524,829.2739044,0.508038585,0.487179487,0.756157635,0.756157635,16,16,1
4050,1.2,5885,15558,931.742268,0.5,0.597325409,0.293719212,0.980295567,9,7,1
4051,1.2,8606,8524,872.4835165,0.3125,0.487179487,0.306650246,0.756157635,27,16,2
4052,1.2,11810,10151,827.5,0.375,0.625,0.780788177,0.293719212,25,9,2
4053,1.2,15234,5820,950.634981,0.422818792,0.44,0.794334975,0.794334975,5,5,2
4054,1.2,15234,15558,1012.067843,0.422818792,0.597325409,0.794334975,0.980295567,5,7,2
4055,1.2,5370,1908,944.4407407,0.666666667,0,0.16317734,0.980295567,18,7,1
4056,1.2,11810,10289,968.095122,0.473684211,0.541262136,0.794334975,1,5,17,1
4057,1.2,5885,10289,931.742268,0.517857143,0.541262136,0.215517241,1,14,17,1
4058,1.2,2456,4983,993.9101124,0.538461538,0,0.293719212,0.06773399,9,24,1
4059,1.2,782,2227,1006.44,0.625,0,0.794334975,0.310344828,5,3,1
4060,1.2,15234,10151,827.5,0.422818792,0.494791667,0.794334975,0.980295567,5,7,2
4061,1.2,1030,128,980.2131148,0.5,0,0.310344828,0.163793103,3,23,1
4062,1.2,782,128,1006.44,0.625,0.5,0.794334975,0.794334975,5,5,1
4063,1.2,1030,782,1006.44,0.5,1,0.310344828,0.099137931,3,20,2
4064,1.2,2524,1030,980.2131148,0.4,1,0.163793103,0.166256158,23,2,2
4065,1.2,2227,128,993,0,0.5,0.099137931,0.794334975,20,5,2
4066,1.2,1030,2227,980.2131148,0.5,0,0.310344828,0.794334975,3,5,1
4067,1.2,103,1030,980.2131148,0,0.5,0.099137931,0.794334975,20,5,2
4068,1.2,103,406,1000.2,1,0,0.166256158,0.16317734,2,18,1
4069,1.2,782,1030,1006.44,0.625,0.5,0.794334975,0.794334975,5,5,1
4070,1.2,782,406,995,0.625,1,0.794334975,0.310344828,5,3,2
4071,1.2,406,2524,995,0.5,0.4,0.163793103,0.163793103,23,23,1
4072,1.2,782,2227,1006.44,0.625,0,0.794334975,0.110837438,5,6,1
4073,1.2,11109,10151,827.5,0.586750789,0.652173913,0.980295567,0.215517241,7,14,2
4074,1.2,1030,103,1000.2,0.5,1,0.06773399,0.16317734,24,18,2
4075,1.2,103,782,1006.44,0,1,0.099137931,0.16317734,20,18,2
